param,S1,S1_conf,ST,ST_conf
MS,0.0037277200432666024,0.005789642193364525,0.03114756151468381,0.0023806189764727505
GS,0.19279547996334093,0.013555917499932044,0.2985517224071679,0.01112734043547535
S,0.499471805460174,0.02010078627838975,0.6170125613745838,0.01657947134148659
cB,0.001761574589796962,0.002990082029282007,0.007573246077948733,0.0006958526873702152
MGP,0.009641360974834253,0.005377778829125731,0.02523710996742634,0.0021924054984020017
MGN,0.0016418125789338285,0.0020617634084248875,0.004855384612859798,0.0005513797251792739
fGP,0.006320589286455081,0.003941614152637644,0.019593578351540433,0.0018397487276023273
cF,0.011806398080118007,0.005422527652191231,0.029492086594183113,0.0017800249896827512
GF,0.1159140246860757,0.012954836506011778,0.203026947608669,0.008754997029636821
rB,0.0030489444866357617,0.003214470651950584,0.00955074928795951,0.0011098340697763573
