param,S1,S1_conf,ST,ST_conf
MS,0.000658369558710883,0.0048669420356431,0.010445479205539055,0.002981820138814458
GS,0.09353622259146804,0.030148900679341534,0.4097920316634899,0.0611187381887671
S,0.389563133224805,0.09795473123986251,0.8088579130344293,0.09897445931421896
cB,0.0005537552613489491,0.001292443438401012,0.003293202422104961,0.001457611932232048
MGP,0.0004674390022123435,0.004697445639712189,0.010051092241706718,0.003132136499719831
MGN,-0.0013260212884232247,0.0025229865536872944,0.0026197098630557124,0.0008888540070086145
fGP,0.0017527346713523486,0.0021692559436564795,0.00600698855892634,0.0019451982772796979
cF,0.00794947125211408,0.005081565798892343,0.051454933253108445,0.01168734272537889
GF,0.06377151745164529,0.01932829606102132,0.34680191288871615,0.07056913012957493
rB,-6.0651871122953787e-05,0.0026989552329339805,0.0042658772371485035,0.001079399729645549
