param,S1,S1_conf,ST,ST_conf
MS,0.039932806976098856,0.011394708407382666,0.12610399874527195,0.008222882714038272
GS,0.16766994011247954,0.014415483514495795,0.27434843249149826,0.011432317569108588
S,0.47374175762175624,0.01957438824464822,0.5976219419195258,0.01561383053507029
cB,0.0014947828559476147,0.003602756104674945,0.010789749028059157,0.0008793045823784396
MGP,0.01268152891536933,0.006110070205730502,0.03507930115242407,0.002975004987618188
MGN,0.0014042670797991118,0.002253307309578862,0.00591655325789313,0.0009675029802213776
fGP,0.007018336254061486,0.005329941915706605,0.027014248917774757,0.002521543060856248
cF,0.009500627160905448,0.005214049849208211,0.02743259892333875,0.001706624610541267
GF,0.09958627767549984,0.012726637778798611,0.18703434481178843,0.008481102803381322
rB,0.0007791304943882409,0.0036366741200397593,0.011314859262300764,0.0013831549292027136
