ID,Reference,Data source,Longitude,Latitude,Elevation,MAT,MAP,PET,Climate,Ecosystem type,Methods,Site,MurA,GlcN,SOC,TN,TP,C/N,MBC,MBN,MBC/N,pH,Sand,Silt,Clay
1,1,A1,-103.85,49.65,567,3.72,406.00,1069,D,Grassland,GC,North America,69.00,1677.00,42.30,4.23,0.5,10.00,204.63 ,85.02 ,2.41 ,6.8,33,46,21
2,1,A1,-103.85,49.65,567,3.72,406.00,1069,D,Cropland,GC,North America,80.00,1521.00,32.70,2.94,0.5,11.12,204.63 ,85.02 ,2.41 ,6.8,33,46,21
3,1,A1,-103.85,49.65,567,3.72,406.00,1069,D,Grassland,GC,North America,35.00,557.00,9.00,1.02,0.5,8.82,204.63 ,85.02 ,2.41 ,6.8,33,46,21
4,1,A1,-103.85,49.65,567,3.72,406.00,1069,D,Cropland,GC,North America,12.00,180.00,4.20,0.47,0.5,8.94,204.63 ,85.02 ,2.41 ,6.8,33,46,21
5,1,A1,11.58,49.95,341,8.37,735.00,830,D,Forest,GC,"Bayreuth, Germany",66.00,884.00,70.00,2.00,0.7,35.00,398.00 ,67.78 ,5.87 ,3.9,13,81,6
6,2,A1,-102.92,52.10,512,0.90,456.00,850,D,Grassland,GC,"CutKnife-icam, North American",151.00,1576.00,34.80,3.25,0.5,10.71,341.64 ,53.32 ,6.41 ,7.50,57.20,19.40,23.40
7,2,A1,-104.41,51.60,580,1.60,343.00,934,D,Grassland,GC,"Elstow, North American",118.00,1278.00,26.40,2.50,0.4,10.56,185.13 ,86.23 ,2.15 ,7.30,62.20,19.00,18.80
8,2,A1,-106.27,50.57,244,3.20,380.00,1123,D,Grassland,GC,"Ardill, North American",68.00,1534.00,22.70,2.40,0.3,9.46,229.98 ,82.47 ,2.79 ,5.60,58.10,25.00,16.90
9,2,A1,-94.74,47.42,233,5.00,419.00,928,D,Grassland,GC,"Amor, North American",44.00,1161.00,16.00,1.68,0.8,9.52,405.25 ,54.01 ,7.50 ,5.50,56.00,17.20,26.80
10,2,A1,-100.98,47.28,197,6.10,300.00,1214,D,Grassland,GC,"Joplin, North American",70.00,781.00,11.30,1.31,0.7,8.63,235.96 ,77.35 ,3.05 ,7.10,54.20,20.70,25.10
11,2,A1,-108.73,48.65,688,6.10,565.00,1311,B,Grassland,GC,"Svea, North American",124.00,1849.00,32.70,2.94,0.8,11.12,160.79 ,91.63 ,1.75 ,7.00,34.90,24.80,40.30
12,2,A1,-106.78,45.01,33,7.20,400.00,1464,B,Grassland,GC,"Ulm, North American",84.00,883.00,14.10,1.43,0.5,9.86,109.72 ,79.38 ,1.38 ,5.80,29.00,32.80,38.20
13,2,A1,-104.37,41.71,252,10.80,375.00,1638,B,Grassland,GC,"Weld, North American",19.00,576.00,7.70,0.88,0.5,8.75,254.25 ,69.15 ,3.68 ,6.40,59.90,14.50,25.60
14,2,A1,-99.91,41.29,154,10.90,792.00,1481,D,Grassland,GC,"Sharpsburg, North American",56.00,1494.00,19.70,2.06,0.4,9.56,217.56 ,80.67 ,2.70 ,5.50,40.00,23.70,36.30
15,2,A1,-100.05,41.52,28,11.60,666.00,1464,D,Grassland,GC,"Holdrege, North American",38.00,862.00,14.00,1.41,0.4,9.93,88.37 ,70.56 ,1.25 ,5.40,56.80,21.70,21.50
16,2,A1,-96.98,40.14,422,12.20,573.00,1486,D,Grassland,GC,"Armo, North American",52.00,901.00,15.60,1.40,0.5,11.14,285.45 ,59.41 ,4.80 ,7.40,43.90,30.20,25.90
17,2,A1,-96.43,41.44,357,12.40,791.00,1362,D,Grassland,GC,"Reading, North American",60.00,886.00,15.00,1.57,0.7,9.55,294.44 ,67.23 ,4.38 ,4.90,51.90,15.90,32.20
18,2,A1,-95.42,38.37,309,14.20,1000.00,1502,D,Grassland,GC,"Parsons, North American",30.00,804.00,10.10,1.54,0.5,6.56,294.17 ,61.06 ,4.82 ,6.20,37.80,46.70,15.50
