.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,biomarker,subset,rank,significant
value,Actinomycetota,Firmicutes,139,122,0.23857942855535502,0.8114317181777242,0.8114317181777242,ns,Bacterial MurA,All bacteria,Phylum,FALSE
value,Actinomycetota,Pseudomonadota,139,161,-12.55261786441656,3.845818100844362e-36,1.1537454302533085e-35,****,Bacterial MurA,All bacteria,Phylum,TRUE
value,Firmicutes,Pseudomonadota,122,161,-12.354635136779532,4.598376988100736e-35,9.196753976201472e-35,****,Bacterial MurA,All bacteria,Phylum,TRUE
value,Actinomycetia,Bacilli,138,109,0.7952747441644665,0.4264537014730445,0.4264537014730445,ns,Bacterial MurA,All bacteria,Class,FALSE
value,Actinomycetia,Gammaproteobacteria,138,150,-12.445649978309227,1.4767726359379565e-35,3.1271793252593805e-35,****,Bacterial MurA,All bacteria,Class,TRUE
value,Bacilli,Gammaproteobacteria,109,150,-12.473430944055306,1.0423931084197935e-35,3.1271793252593805e-35,****,Bacterial MurA,All bacteria,Class,TRUE
value,Agaricomycetes,Dothideomycetes,189,50,1.2074106335933446,0.22727404240956112,1,ns,Fungal GlcN,All fungi,Class,FALSE
value,Agaricomycetes,Eurotiomycetes,189,150,7.295815924349939,2.9685453278508206e-13,5.640236122916559e-12,****,Fungal GlcN,All fungi,Class,TRUE
value,Agaricomycetes,Leotiomycetes,189,47,-4.791467939035773,1.655654801093906e-6,2.3179167215314684e-5,****,Fungal GlcN,All fungi,Class,TRUE
value,Agaricomycetes,Mucoromycetes,189,32,2.91366423446485,0.0035721388377854984,0.028577110702283987,*,Fungal GlcN,All fungi,Class,TRUE
value,Agaricomycetes,Saccharomycetes,189,57,-3.950965269557009,7.783662044663617e-5,7.783662044663618e-4,***,Fungal GlcN,All fungi,Class,TRUE
value,Agaricomycetes,Sordariomycetes,189,192,1.0651510561257125,0.28680757800335815,1,ns,Fungal GlcN,All fungi,Class,FALSE
