model,parameter,S1,S1_conf,S1_lo95,S1_hi95,ST,ST_conf,ST_lo95,ST_hi95
CFB,cB,0.10400289018961847,0.0161300626323131,0.08787282755730538,0.12013295282193157,0.1509619753878641,0.01283617006205121,0.1381258053258129,0.1637981454499153
CFB,MGP,0.39936710831838507,0.03338484855193185,0.3659822597664532,0.4327519568703169,0.4918485622159115,0.03797960754255938,0.45386895467335214,0.5298281697584709
CFB,MGN,0.05346838594842923,0.0175424085680153,0.035925977380413934,0.07101079451644453,0.1695531634255145,0.02475137524635314,0.14480178817916134,0.19430453867186764
CFB,fGP,0.28312002686887794,0.03302590022423752,0.2500941266446404,0.31614592709311545,0.3846138388715259,0.03035551486396701,0.35425832400755886,0.41496935373549293
NF,MS,0.02762957674348782,0.01003911779598365,0.01759045894750417,0.03766869453947147,0.05750799520228145,0.01121354463986821,0.04629445056241324,0.06872153984214965
NF,GS,0.3753099818246903,0.04030252607929107,0.3350074557453992,0.41561250790398135,0.611450530308976,0.05434893427796657,0.5571015960310094,0.6657994645869426
NF,cF,0.02997713117528678,0.01276488010472026,0.01721225107056652,0.04274201128000704,0.07930057298508761,0.00963357967299792,0.06966699331208968,0.08893415265808553
NF,GF,0.28362759572134877,0.03301202852757592,0.25061556719377287,0.31663962424892467,0.5140038018155657,0.04747821820931838,0.46652558360624735,0.5614820200248841
NF,rB,0.00762710893616894,0.00677513019038596,8.519787457829794e-4,0.0144022391265549,0.02009355457854916,0.00521642636740343,0.01487712821114573,0.02530998094595259
fnecC composite,MS,0.07988182328096624,0.01671654802016292,0.06316527526080332,0.09659837130112917,0.1420259216946517,0.01260483497476417,0.12942108671988753,0.15463075666941586
fnecC composite,GS,0.1573333464487106,0.02033888547268441,0.1369944609760262,0.17767223192139503,0.2535315038367588,0.01529746454673959,0.23823403929001924,0.2688289683834984
fnecC composite,S,0.523408975496034,0.02807155340611005,0.495337422089924,0.551480528902144,0.650379896763819,0.02625641000935595,0.624123486754463,0.676636306773175
fnecC composite,CFB,0.01048500162989482,0.00684957549087599,0.003635426139018829,0.01733457712077081,0.02638788217143401,0.00315776801068366,0.02323011416075035,0.02954565018211767
fnecC composite,CFF,0.07861690559206108,0.01484249789196885,0.06377440770009223,0.09345940348402994,0.15067045134231727,0.01187662861370398,0.1387938227286133,0.16254707995602125
fnecC trait-resolved,MS,0.03993280697609885,0.01139470840738266,0.02853809856871619,0.05132751538348151,0.12610399874527195,0.00822288271403827,0.11788111603123368,0.1343268814593102
fnecC trait-resolved,GS,0.16766994011247954,0.01441548351449579,0.15325445659798376,0.18208542362697533,0.27434843249149826,0.01143231756910858,0.2629161149223897,0.2857807500606068
fnecC trait-resolved,S,0.47374175762175624,0.01957438824464822,0.454167369377108,0.4933161458664045,0.5976219419195258,0.01561383053507029,0.5820081113844555,0.613235772454596
fnecC trait-resolved,cB,0.00149478285594761,0.00360275610467494,-0.0021079732487273304,0.00509753896062255,0.01078974902805915,8.7930458237843e-4,0.00991044444568072,0.01166905361043758
fnecC trait-resolved,MGP,0.01268152891536933,0.0061100702057305,0.00657145870963883,0.01879159912109983,0.03507930115242407,0.00297500498761818,0.03210429616480589,0.038054306140042245
fnecC trait-resolved,MGN,0.00140426707979911,0.00225330730957886,-8.490402297797498e-4,0.00365757438937797,0.00591655325789313,9.6750298022137e-4,0.0049490502776717606,0.0068840562381145
fnecC trait-resolved,fGP,0.00701833625406148,0.0053299419157066,0.0016883943383548799,0.01234827816976808,0.02701424891777475,0.00252154306085624,0.02449270585691851,0.02953579197863099
fnecC trait-resolved,cF,0.00950062716090544,0.00521404984920821,0.004286577311697229,0.014714677010113648,0.02743259892333875,0.00170662461054126,0.02572597431279749,0.029139223533880012
fnecC trait-resolved,GF,0.09958627767549984,0.01272663777879861,0.08685963989670123,0.11231291545429845,0.18703434481178843,0.00848110280338132,0.1785532420084071,0.19551544761516976
fnecC trait-resolved,rB,7.7913049438824e-4,0.00363667412003975,-0.0028575436256515103,0.00441580461442799,0.01131485926230076,0.00138315492920271,0.009931704333098049,0.01269801419150347
