Number,AuthorID,Reference,Kingdom,Phylum,Class,Order,Genus,Species,Gram,kingdom,trait,trait_value,trait_median,mad,lower_threshold,upper_threshold,potential_outlier
8,53,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Actinomyces,Actinomyces viscosus,GP,Bacteria,MurA,44,10.1,8.23,-14.590000000000002,34.79,TRUE
17,32,Appuhn and Joergensen 2006,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,GP,Bacteria,MurA,42.2,10.1,8.23,-14.590000000000002,34.79,TRUE
22,37,Appuhn and Joergensen 2006,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,39.8,10.1,8.23,-14.590000000000002,34.79,TRUE
23,79,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,39.8,10.1,8.23,-14.590000000000002,34.79,TRUE
25,81,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,GP,Bacteria,MurA,48.48,10.1,8.23,-14.590000000000002,34.79,TRUE
31,87,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus cereus,GP,Bacteria,MurA,42.2,10.1,8.23,-14.590000000000002,34.79,TRUE
36,92,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus pasteurii,GP,Bacteria,MurA,96.38,10.1,8.23,-14.590000000000002,34.79,TRUE
40,96,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus psychrophilus,GP,Bacteria,MurA,70.09,10.1,8.23,-14.590000000000002,34.79,TRUE
41,97,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus stearothermophilus,GP,Bacteria,MurA,90.54,10.1,8.23,-14.590000000000002,34.79,TRUE
42,98,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus stearothermophilus,GP,Bacteria,MurA,45.56,10.1,8.23,-14.590000000000002,34.79,TRUE
45,101,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus stearothermophilus,GP,Bacteria,MurA,75.93,10.1,8.23,-14.590000000000002,34.79,TRUE
47,103,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,75.02,10.1,8.23,-14.590000000000002,34.79,TRUE
52,108,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,47.7,10.1,8.23,-14.590000000000002,34.79,TRUE
54,110,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,37,10.1,8.23,-14.590000000000002,34.79,TRUE
62,438,Salas et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,38.26,10.1,8.23,-14.590000000000002,34.79,TRUE
63,436,Salas et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillus,Bacillus subtilis,GP,Bacteria,MurA,63.28,10.1,8.23,-14.590000000000002,34.79,TRUE
65,194,Hu et al. 2024,Bacteria,Bacilliota,Bacilli,Bacillales,Gaffkya,Gaffkya homari,GP,Bacteria,MurA,54.32,10.1,8.23,-14.590000000000002,34.79,TRUE
71,329,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcus,Staphylococcus aureus,GP,Bacteria,MurA,42.32,10.1,8.23,-14.590000000000002,34.79,TRUE
88,324,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Bacillales,Sporosarcina,Sporosarcina ureae,GP,Bacteria,MurA,106.89,10.1,8.23,-14.590000000000002,34.79,TRUE
94,268,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Caryophanales,Planococcus,Planococcus sp.,GP,Bacteria,MurA,46.14,10.1,8.23,-14.590000000000002,34.79,TRUE
115,142,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium betae,GP,Bacteria,MurA,39.72,10.1,8.23,-14.590000000000002,34.79,TRUE
116,143,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium betae,GP,Bacteria,MurA,37.38,10.1,8.23,-14.590000000000002,34.79,TRUE
119,146,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium insidiosum,GP,Bacteria,MurA,74.77,10.1,8.23,-14.590000000000002,34.79,TRUE
121,148,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium poinsettiae,GP,Bacteria,MurA,45.56,10.1,8.23,-14.590000000000002,34.79,TRUE
122,149,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium poinsettiae,GP,Bacteria,MurA,44.39,10.1,8.23,-14.590000000000002,34.79,TRUE
123,150,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium rathayi,GP,Bacteria,MurA,59.58,10.1,8.23,-14.590000000000002,34.79,TRUE
124,151,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium rathayi,GP,Bacteria,MurA,42.06,10.1,8.23,-14.590000000000002,34.79,TRUE
126,153,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Corynebacteriales,Corynebacterium,Corynebacterium sp. ATCC21188,GP,Bacteria,MurA,60.75,10.1,8.23,-14.590000000000002,34.79,TRUE
223,347,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcus,Streptococcus mutans,GP,Bacteria,MurA,36.21,10.1,8.23,-14.590000000000002,34.79,TRUE
239,59,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcus,Aerococcus viridans,GP,Bacteria,MurA,58.41,10.1,8.23,-14.590000000000002,34.79,TRUE
240,60,Hu et al. 2024,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcus,Aerococcus viridans,GP,Bacteria,MurA,43.22,10.1,8.23,-14.590000000000002,34.79,TRUE
272,65,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Arthrobacter,Arthrobacter aurescens,GP,Bacteria,MurA,60.75,10.1,8.23,-14.590000000000002,34.79,TRUE
273,66,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Arthrobacter,Arthrobacter aurescens,GP,Bacteria,MurA,38.55,10.1,8.23,-14.590000000000002,34.79,TRUE
276,69,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Arthrobacter,Arthrobacter citreus,GP,Bacteria,MurA,64.25,10.1,8.23,-14.590000000000002,34.79,TRUE
277,70,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Arthrobacter,Arthrobacter citreus,GP,Bacteria,MurA,61.92,10.1,8.23,-14.590000000000002,34.79,TRUE
283,76,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Arthrobacter,Arthrobacter sp. NCIB 9423,GP,Bacteria,MurA,51.4,10.1,8.23,-14.590000000000002,34.79,TRUE
292,43,Appuhn and Joergensen 2006,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Micrococcus,Micrococcus luteus,GP,Bacteria,MurA,38,10.1,8.23,-14.590000000000002,34.79,TRUE
294,226,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Micrococcus,Micrococcus aurantiacus,GP,Bacteria,MurA,51.75,10.1,8.23,-14.590000000000002,34.79,TRUE
300,232,Hu et al. 2024,Bacteria,Actinomycetota,Actinomycetia,Micrococcales,Micrococcus,Micrococcus freudreichii,GP,Bacteria,MurA,61.92,10.1,8.23,-14.590000000000002,34.79,TRUE
