kingdom,trait,subset,rank,taxon,n,threshold_rule,included
Bacteria,MurA,all,Phylum,Acidobacteriota,3,n > 50,FALSE
Bacteria,MurA,all,Phylum,Actinomycetota,139,n > 50,TRUE
Bacteria,MurA,all,Phylum,Bacilliota,3,n > 50,FALSE
Bacteria,MurA,all,Phylum,Bacteroidota,5,n > 50,FALSE
Bacteria,MurA,all,Phylum,Chlamydiota,2,n > 50,FALSE
Bacteria,MurA,all,Phylum,Cyanobacteriota,7,n > 50,FALSE
Bacteria,MurA,all,Phylum,Firmicutes,122,n > 50,TRUE
Bacteria,MurA,all,Phylum,Myxococcota,1,n > 50,FALSE
Bacteria,MurA,all,Phylum,Pseudomonadota,161,n > 50,TRUE
Bacteria,MurA,all,Phylum,Verrucomicrobiota,1,n > 50,FALSE
Bacteria,MurA,all,Class,Acidobacteriia,2,n > 20,FALSE
Bacteria,MurA,all,Class,Actinomycetia,138,n > 20,TRUE
Bacteria,MurA,all,Class,Alphaproteobacteria,7,n > 20,FALSE
Bacteria,MurA,all,Class,Bacilli,109,n > 20,TRUE
Bacteria,MurA,all,Class,Bacteroidia,1,n > 20,FALSE
Bacteria,MurA,all,Class,Betaproteobacteria,1,n > 20,FALSE
Bacteria,MurA,all,Class,Chlamydiia,2,n > 20,FALSE
Bacteria,MurA,all,Class,Clostridia,16,n > 20,FALSE
Bacteria,MurA,all,Class,Cyanophyceae,7,n > 20,FALSE
Bacteria,MurA,all,Class,Cytophagia,1,n > 20,FALSE
Bacteria,MurA,all,Class,Epsilonproteobacteria,3,n > 20,FALSE
Bacteria,MurA,all,Class,Flavobacteriia,3,n > 20,FALSE
Bacteria,MurA,all,Class,Gammaproteobacteria,150,n > 20,TRUE
Bacteria,MurA,all,Class,Polyangia,1,n > 20,FALSE
Bacteria,MurA,all,Class,Solibacteres,1,n > 20,FALSE
Bacteria,MurA,all,Class,Thermoleophilia,1,n > 20,FALSE
Bacteria,MurA,all,Class,Verrucomicrobiae,1,n > 20,FALSE
Bacteria,MurA,all,Order,Acidobacteriales,2,n > 20,FALSE
Bacteria,MurA,all,Order,Actinomycetales,7,n > 20,FALSE
Bacteria,MurA,all,Order,Actinopolysporales,2,n > 20,FALSE
